system:index,EVI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,class6,.geo
00000000000000000019_0,0.3425870646766169,0.6320594,0.020962499999999995,0.025774999999999992,0.04893,0.055117499999999986,0.2444825,0.1867875,0.115205,323.0626685,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25649869485816,-3.524038480904089]}"
0000000000000000001a_0,0.2967713616855248,0.5512002,0.02291499999999999,0.031275,0.055227499999999985,0.06812499999999999,0.23546250000000002,0.20375500000000002,0.11974249999999997,322.63199798,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.2564984794072,-3.524309867012839]}"
0000000000000000001b_0,0.46394301108902514,0.80031013,0.010374999999999995,0.014802499999999996,0.04084499999999999,0.031549999999999995,0.28444,0.1629175,0.08556000000000002,320.55725984000003,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25730830985683,-3.5248532884590222]}"
0000000000000000001c_0,0.4324486429749588,0.7500946,0.012767499999999987,0.01865249999999999,0.04356750000000001,0.039635000000000004,0.277565,0.1731475,0.09108749999999999,319.92150812,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25676792014961,-3.52512424183601]}"
0000000000000000001d_0,0.40285179610268096,0.7177971,0.016204999999999997,0.02209,0.046564999999999995,0.042825,0.26068,0.17820750000000002,0.09848499999999999,320.8067753,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25649783295416,-3.5251240253295033]}"
0000000000000000001e_0,0.3573621515412011,0.67854935,0.015270000000000006,0.022254999999999997,0.04607,0.04549249999999999,0.2375525,0.16553,0.09185749999999998,322.03042646,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25622753017939,-3.525395194829997]}"
0000000000000000001f_0,0.3579375158750317,0.6669478,0.017607499999999998,0.023877499999999996,0.050387499999999974,0.048380000000000006,0.242145,0.1678675,0.0929025,321.77065694,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25622731456667,-3.5256665809140446]}"
00000000000000000020_0,0.4702405139219442,0.72191656,0.02318999999999999,0.027535000000000004,0.05550250000000001,0.05148750000000002,0.318815,0.1961925,0.10486499999999999,320.2940723,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25649675519851,-3.5264809558253267]}"
00000000000000000022_0,0.4794369362590173,0.77000886,0.01901,0.02228250000000001,0.04596,0.03925000000000001,0.3020675,0.182635,0.09529500000000002,320.39319488,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25676619616658,-3.527295330743819]}"
00000000000000000023_0,0.4447966891265125,0.76168144,0.017579999999999985,0.0205225,0.045107499999999995,0.037544999999999995,0.2775375,0.1629175,0.08245249999999998,320.56409587999997,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25676576500393,-3.527838102954789]}"
